Motor RPM,Motor Temp (°C),Motor Current (A),Torque (Nm),Motor Status
5550.74,63.61,90.33,275.65,Good
7774.34,64.52,171.94,276.14,Good
1204.26,105.3,37.65,339.65,Faulty
5544.52,88.57,56.78,13.77,Good
3828.13,85.28,91.86,95.9,Good
7011.07,60.07,143.89,269.56,Good
1828.62,103.61,78.3,359.11,Faulty
5694.69,33.45,185.91,277.28,Faulty
6785.86,108.37,23.42,171.26,Faulty
7584.61,76.15,77.31,151.01,Good
5624.36,65.84,143.25,297.8,Good
4228.81,74.75,49.07,299.08,Good
5133.85,90.07,133.0,246.75,Good
7016.79,31.15,37.02,123.67,Good
4779.57,108.44,15.92,370.81,Faulty
727.9,70.21,28.6,225.23,Good
7482.12,60.87,186.35,318.29,Faulty
5671.45,42.44,112.59,93.58,Good
5573.85,69.55,160.29,144.18,Good
2117.56,74.67,69.87,351.09,Good
5441.64,66.33,120.57,29.54,Good
3453.98,91.08,101.52,209.8,Good
5384.25,67.88,189.42,197.87,Faulty
1299.45,116.53,150.78,302.98,Faulty
5433.84,83.93,147.46,119.94,Good
7995.6,102.67,14.04,95.44,Faulty
861.59,39.84,112.19,371.19,Good
7828.81,65.76,96.06,232.97,Good
3551.81,60.32,185.93,50.83,Faulty
7030.65,81.25,55.18,85.28,Good
6367.89,107.5,57.62,399.54,Faulty
4752.62,37.05,85.21,86.29,Good
6038.37,36.53,52.46,248.09,Good
7088.87,106.53,30.19,173.85,Faulty
3531.05,49.16,172.2,355.38,Good
2952.75,90.19,113.86,304.52,Good
5506.95,78.86,172.97,242.81,Good
6558.84,104.96,167.07,14.19,Faulty
6217.14,41.26,60.0,353.12,Good
6483.6,41.68,111.81,183.42,Good
3766.87,80.11,21.23,373.32,Good
6633.76,115.17,183.47,203.26,Faulty
1401.57,67.35,83.83,280.75,Good
4583.67,59.42,81.77,37.02,Good
543.19,84.6,64.04,300.61,Good
2934.39,113.74,94.83,141.82,Faulty
3248.46,105.32,54.09,147.03,Faulty
3471.3,119.59,78.1,56.28,Faulty
5716.0,32.03,160.99,67.27,Good
3414.19,40.16,167.68,82.45,Good
3865.2,84.85,64.32,138.0,Good
2281.58,103.85,96.46,357.87,Faulty
3299.39,55.67,175.39,153.62,Good
2204.52,51.53,15.27,292.5,Good
1048.97,100.83,178.38,42.27,Faulty
5025.86,35.07,47.74,240.53,Good
5511.6,63.24,137.32,197.94,Good
5146.18,75.52,118.6,391.4,Good
3976.21,80.43,112.82,340.02,Good
3348.39,95.58,172.58,187.38,Good
6975.0,61.94,24.81,312.31,Good
4393.11,85.14,72.67,85.29,Good
4093.86,82.68,109.96,229.31,Good
692.32,79.29,163.2,39.1,Good
3059.36,87.64,47.21,145.75,Good
3351.47,53.35,161.57,98.09,Good
3491.17,37.62,82.93,290.37,Good
4851.29,40.73,41.84,201.14,Good
4502.02,50.21,153.0,302.92,Good
5059.29,75.02,22.73,210.97,Good
6236.62,105.64,105.38,43.73,Faulty
6597.39,93.12,17.46,296.79,Good
5885.92,101.01,74.5,334.96,Faulty
7666.43,61.59,122.21,362.38,Good
636.74,66.42,113.44,233.08,Good
1968.33,65.43,83.91,303.9,Good
556.72,47.27,88.66,303.3,Good
5356.06,35.51,49.22,70.74,Good
7235.23,83.18,93.9,74.05,Good
2326.12,119.03,190.88,37.65,Faulty
7452.76,45.01,170.84,134.77,Good
952.01,34.2,33.32,194.67,Good
7508.27,100.16,10.81,399.18,Faulty
3137.17,52.73,187.04,178.09,Faulty
1260.66,104.67,107.72,293.23,Faulty
4144.04,93.35,109.88,280.42,Good
2425.82,115.11,157.24,89.75,Faulty
2636.55,66.8,66.36,32.82,Good
2804.67,89.58,98.97,222.94,Good
6522.69,71.84,193.89,283.12,Faulty
4543.71,86.75,136.07,399.32,Good
2834.81,70.46,34.98,149.86,Good
5077.5,46.98,30.98,359.58,Good
5871.13,75.71,44.83,158.95,Good
2544.68,77.57,154.51,278.87,Good
3601.62,102.95,62.6,243.32,Faulty
1414.15,96.2,9.17,30.66,Good
1858.62,89.74,189.11,40.57,Faulty
5608.38,40.2,38.09,18.1,Good
1860.79,94.86,6.86,154.63,Good
4438.73,75.03,51.24,300.86,Good
5817.85,110.47,50.83,77.37,Faulty
1301.58,112.79,87.29,246.28,Faulty
4754.84,34.96,184.48,122.64,Faulty
2424.22,103.86,176.44,320.83,Faulty
7721.95,33.39,94.09,321.37,Good
4126.59,63.05,85.13,312.41,Good
6544.94,78.81,113.23,214.69,Good
4626.7,43.33,52.47,120.98,Good
825.59,97.17,15.18,325.68,Good
5248.64,30.75,188.15,82.58,Faulty
7635.53,45.17,41.41,123.01,Good
5012.09,82.27,43.69,81.74,Good
6643.92,94.29,97.13,272.94,Good
7131.55,112.5,100.86,277.63,Faulty
2210.6,93.49,8.59,264.48,Good
2090.34,90.46,33.85,172.08,Good
5082.36,65.49,78.74,49.07,Good
3582.71,30.12,138.33,365.36,Good
6798.96,40.81,49.54,208.02,Good
7250.17,78.11,87.49,168.72,Good
3150.66,90.76,113.68,239.64,Good
2276.53,67.57,178.28,85.19,Good
6353.94,95.76,68.58,61.69,Good
2561.05,76.97,31.04,168.15,Good
6669.61,36.68,100.41,98.62,Good
3678.04,47.28,150.61,105.27,Good
5506.62,105.6,26.42,358.08,Faulty
1216.51,95.24,87.81,217.0,Good
5178.94,110.53,8.47,198.55,Faulty
3888.26,40.58,11.54,278.9,Good
4899.56,119.12,99.18,381.1,Faulty
1760.11,48.85,63.15,53.76,Good
6026.55,31.06,169.8,335.08,Good
6970.98,119.77,122.42,237.77,Faulty
2125.55,55.3,93.52,67.0,Good
1217.86,90.12,84.55,125.89,Good
677.29,45.9,101.96,198.12,Good
5314.79,82.22,12.89,279.56,Good
5053.21,111.36,179.09,104.62,Faulty
4600.23,58.82,199.67,218.6,Faulty
2239.6,90.32,40.39,277.02,Good
3431.79,46.91,28.47,185.01,Good
4958.57,86.23,33.0,346.58,Good
4225.75,60.28,133.9,349.09,Good
7908.39,49.01,133.98,193.57,Good
1523.3,58.19,170.35,389.44,Good
5713.58,46.1,151.61,39.48,Good
3532.39,111.17,92.69,11.31,Faulty
3711.5,65.75,124.51,158.46,Good
5881.98,52.08,139.22,244.43,Good
5693.27,70.36,104.98,255.39,Good
7934.42,58.85,97.75,195.81,Good
1462.96,97.0,130.79,58.7,Good
1280.82,117.41,113.71,76.49,Faulty
5932.54,69.42,130.57,342.34,Good
4837.9,107.49,124.51,348.49,Faulty
2556.2,80.93,145.24,272.82,Good
1095.65,44.15,130.35,269.05,Good
1142.44,92.16,106.35,243.1,Good
7206.43,76.21,137.95,89.14,Good
1939.0,88.55,92.65,177.02,Good
2925.29,110.07,52.13,281.4,Faulty
2199.92,69.64,5.28,219.53,Good
3162.47,111.11,114.19,17.25,Faulty
1020.68,97.56,120.18,381.89,Good
4392.95,73.97,194.55,339.48,Faulty
1007.09,84.29,75.49,111.61,Good
6502.67,59.3,81.86,250.42,Good
2252.84,118.52,44.35,370.06,Faulty
4550.09,90.06,18.75,47.44,Good
7100.59,33.95,155.7,206.18,Good
5381.58,59.4,53.69,187.93,Good
4497.18,86.1,123.74,169.98,Good
2932.5,35.07,139.12,335.88,Good
2997.51,32.15,96.89,158.45,Good
5521.15,70.5,175.89,34.83,Good
7956.05,59.94,91.54,35.68,Good
5463.79,69.45,60.56,26.67,Good
4683.38,53.64,179.72,169.57,Good
5979.88,44.82,173.01,290.18,Good
3989.04,92.02,36.99,89.45,Good
951.07,76.31,10.06,262.12,Good
4717.23,48.01,22.55,277.96,Good
7682.19,58.76,60.88,109.53,Good
1814.77,83.26,194.59,244.22,Faulty
5675.04,36.5,113.91,277.1,Good
2007.0,43.27,77.79,191.98,Good
4518.71,36.59,178.3,141.32,Good
1225.07,103.11,93.36,251.47,Faulty
3877.78,97.72,66.47,391.36,Good
6171.22,97.8,188.54,176.47,Faulty
3106.79,94.47,170.66,162.78,Good
5486.84,90.24,169.52,191.06,Good
6465.87,72.93,104.9,39.73,Good
7453.83,87.81,158.94,225.73,Good
2259.82,33.45,39.97,138.19,Good
3494.87,85.93,116.78,57.35,Good
1643.12,100.01,196.85,191.84,Faulty
7943.63,75.03,61.74,11.32,Good
7452.51,62.18,159.9,166.7,Good
4549.68,54.97,100.64,51.24,Good
6815.25,87.85,12.76,19.47,Good
4407.18,92.35,153.79,331.55,Good
5176.89,108.39,37.87,367.34,Faulty
1168.43,60.81,128.14,90.99,Good
6164.53,99.28,21.7,220.33,Good
1457.85,80.52,189.64,118.4,Faulty
6695.51,109.46,61.89,202.5,Faulty
6365.21,77.5,49.16,180.29,Good
5815.59,76.59,30.18,114.93,Good
771.2,82.01,189.47,283.15,Faulty
2773.46,97.44,143.82,59.33,Good
2473.34,116.82,149.62,30.7,Faulty
3201.02,36.62,102.38,309.39,Good
1157.32,34.81,97.57,269.71,Good
7527.18,114.38,26.45,204.43,Faulty
4653.52,77.69,114.17,192.44,Good
2791.43,85.34,53.15,203.99,Good
3477.36,73.42,195.54,180.44,Faulty
3854.02,38.43,160.33,163.23,Good
5004.46,99.13,85.53,204.88,Good
4367.6,97.25,34.51,216.12,Good
7395.44,58.05,158.14,279.84,Good
4227.23,57.56,28.8,287.37,Good
7941.19,105.41,41.92,157.28,Faulty
6885.69,36.51,46.25,171.28,Good
2063.83,109.3,113.59,155.74,Faulty
7479.46,53.1,158.48,219.25,Good
1372.75,83.37,66.29,186.81,Good
6630.87,114.24,21.51,356.94,Faulty
3354.67,91.03,95.59,281.58,Good
7084.81,67.3,150.88,360.48,Good
7010.43,92.06,48.22,286.56,Good
6544.44,60.96,47.89,388.69,Good
6425.23,54.95,189.71,257.94,Faulty
2785.09,119.7,191.06,385.78,Faulty
1106.89,97.57,198.14,71.69,Faulty
3522.35,88.02,162.49,30.47,Good
1801.43,61.98,41.7,235.86,Good
5712.13,34.42,46.34,393.56,Good
3095.75,32.8,71.34,172.87,Good
7817.08,79.88,67.04,92.7,Good
5307.29,98.58,191.52,213.4,Faulty
6668.6,78.36,158.87,263.03,Good
1493.94,105.67,146.18,132.92,Faulty
6965.11,33.01,41.26,288.76,Good
7420.68,63.01,182.36,390.29,Faulty
4152.96,51.34,166.43,359.82,Good
5046.9,70.25,36.91,123.72,Good
6236.07,36.51,174.88,137.42,Good
1811.29,115.87,58.09,154.9,Faulty
4269.25,50.09,20.77,163.88,Good
3489.97,113.01,133.08,49.12,Faulty
1597.8,68.33,132.49,307.17,Good
3256.51,118.7,23.51,152.48,Faulty
1011.29,79.87,67.18,353.13,Good
693.59,113.77,198.6,371.51,Faulty
1513.75,30.48,137.29,19.53,Good
7723.36,97.34,147.36,395.52,Good
4621.47,111.27,46.52,286.91,Faulty
7743.67,42.57,20.36,212.95,Good
3743.73,38.65,59.0,161.92,Good
2838.62,68.21,53.54,212.22,Good
4296.06,114.03,50.74,136.6,Faulty
3796.34,78.81,42.59,252.85,Good
1292.49,77.47,117.08,46.26,Good
5306.2,42.7,68.98,252.24,Good
2120.29,30.07,164.97,117.38,Good
5146.91,102.91,40.87,16.88,Faulty
5376.51,37.88,95.6,225.56,Good
1640.19,87.05,7.66,235.59,Good
960.12,112.32,98.93,176.36,Faulty
6355.71,48.78,15.89,38.19,Good
3948.5,89.87,195.66,358.4,Faulty
936.23,37.08,159.17,248.46,Good
7961.5,84.34,100.57,55.13,Good
933.35,44.75,21.88,209.26,Good
5712.76,96.24,120.53,203.93,Good
7877.59,57.11,152.96,33.56,Good
2293.85,71.71,42.19,246.68,Good
1566.87,83.95,115.8,325.25,Good
1410.39,45.41,163.77,302.11,Good
2774.56,96.75,154.81,89.16,Good
1257.84,57.24,161.58,346.29,Good
5691.21,89.61,176.47,143.59,Good
967.19,44.25,187.85,379.14,Faulty
4320.67,91.93,84.08,37.98,Good
7975.23,41.54,115.91,199.62,Good
6604.78,68.28,159.18,242.88,Good
5114.15,52.25,140.94,106.58,Good
2796.9,97.35,199.13,310.84,Faulty
5179.22,53.58,7.67,254.49,Good
4452.81,109.35,74.25,17.06,Faulty
3695.63,110.26,59.8,247.26,Faulty
1480.33,47.68,56.15,201.68,Good
7149.53,85.25,48.39,86.45,Good
3873.38,37.89,143.28,398.34,Good
1959.67,65.24,21.53,359.89,Good
3258.2,94.2,149.61,124.08,Good
3605.97,89.35,140.22,221.02,Good
6706.53,86.22,53.91,133.44,Good
6002.11,55.43,54.3,312.44,Good
6269.79,64.02,127.63,372.83,Good
582.73,39.27,153.62,149.94,Good
3621.15,94.71,175.91,324.18,Good
4110.08,75.35,171.17,204.38,Good
643.94,93.79,193.15,164.67,Faulty
2448.6,52.4,118.37,375.98,Good
6202.17,59.2,182.19,209.06,Faulty
1528.32,60.08,162.66,192.29,Good
4514.83,32.32,179.46,272.25,Good
2114.01,60.69,7.27,111.88,Good
590.91,102.3,193.35,136.67,Faulty
2309.01,110.76,97.34,373.5,Faulty
7819.05,76.64,160.65,274.63,Good
6511.53,71.0,29.8,332.39,Good
7696.82,32.77,82.21,115.73,Good
4158.91,109.13,57.93,222.08,Faulty
1323.02,31.17,61.87,388.84,Good
4609.7,115.03,29.03,134.29,Faulty
3907.83,74.03,162.12,72.59,Good
6832.68,60.77,6.8,209.25,Good
1235.62,113.18,65.94,161.25,Faulty
4161.81,32.2,39.01,72.24,Good
1625.36,82.33,119.86,356.54,Good
2935.07,79.4,54.58,396.38,Good
6030.18,49.74,55.5,231.75,Good
4070.14,68.6,100.23,312.12,Good
3319.16,88.7,132.27,345.02,Good
3458.57,95.44,28.65,283.38,Good
3945.85,30.06,39.22,27.22,Good
6387.62,114.32,53.2,71.48,Faulty
7190.64,44.81,194.88,37.69,Faulty
7665.01,51.02,82.44,13.85,Good
6401.78,53.71,121.8,129.34,Good
2865.55,33.4,52.1,163.02,Good
5661.01,41.07,100.64,104.0,Good
3782.02,118.77,19.45,35.2,Faulty
2410.03,58.37,11.77,216.65,Good
6806.54,40.38,96.4,116.59,Good
788.2,39.63,82.74,320.45,Good
7263.21,94.75,31.69,13.14,Good
3961.08,106.91,139.08,338.59,Faulty
5279.01,53.13,198.62,382.35,Faulty
5445.15,31.88,82.15,289.29,Good
7213.38,50.08,126.79,296.12,Good
5275.02,35.09,192.78,374.09,Faulty
5104.5,39.31,167.15,91.54,Good
999.89,68.84,95.39,397.88,Good
4388.06,50.69,148.81,311.66,Good
1626.27,76.44,29.99,293.36,Good
6030.75,52.81,104.86,150.83,Good
4341.66,114.65,59.42,222.85,Faulty
5601.71,111.53,36.43,265.03,Faulty
812.55,81.01,88.12,251.93,Good
1135.94,61.9,30.55,284.94,Good
5872.43,64.3,141.3,42.13,Good
1040.63,67.07,93.97,148.7,Good
1034.43,95.48,108.57,179.26,Good
590.81,70.65,33.54,111.65,Good
7673.76,107.11,32.26,77.32,Faulty
6031.31,114.97,118.77,64.18,Faulty
3149.39,60.24,197.08,152.89,Faulty
2724.02,80.46,23.77,202.44,Good
3122.77,38.56,60.72,34.56,Good
6309.9,48.04,174.54,379.12,Good
5460.28,67.21,19.09,308.44,Good
1888.97,48.56,175.8,295.03,Good
1805.82,108.89,107.24,77.42,Faulty
1237.97,44.25,84.61,245.48,Good
5452.27,71.01,65.39,216.59,Good
6232.79,84.51,62.94,393.16,Good
2487.85,92.27,64.63,301.59,Good
657.09,64.48,177.54,234.55,Good
1116.29,108.22,146.14,341.82,Faulty
7758.95,81.15,135.6,70.49,Good
2715.84,69.56,160.76,15.93,Good
6269.17,36.05,55.14,279.19,Good
5184.98,71.82,125.52,48.34,Good
3364.55,103.87,94.71,55.02,Faulty
2042.65,85.31,157.58,300.43,Good
1410.4,104.89,65.3,115.51,Faulty
5112.6,74.46,130.42,255.17,Good
6309.75,40.66,177.03,367.79,Good
5329.28,31.23,83.42,133.43,Good
4477.27,57.29,17.99,94.69,Good
814.63,92.82,105.63,51.56,Good
7763.67,101.12,72.46,60.88,Faulty
6490.36,56.62,136.08,34.27,Good
2696.17,74.61,190.45,44.18,Faulty
7849.78,67.9,99.69,178.48,Good
5014.11,66.95,95.91,135.14,Good
4868.17,50.82,132.64,285.56,Good
6110.55,42.27,25.18,349.39,Good
6588.27,47.7,54.43,316.06,Good
5423.59,34.98,184.2,216.95,Faulty
1460.72,47.83,135.64,49.95,Good
3037.01,30.83,7.62,286.81,Good
7460.63,86.45,44.9,151.5,Good
2184.62,58.47,138.15,43.4,Good
3291.25,117.58,154.06,338.56,Faulty
3740.58,47.43,168.77,141.9,Good
3795.54,61.12,61.97,95.12,Good
5097.05,62.21,186.55,349.87,Faulty
7573.07,30.76,112.82,361.83,Good
2305.2,105.53,140.83,142.2,Faulty
1411.26,32.88,121.36,148.37,Good
1981.03,114.62,28.93,236.06,Faulty
7151.94,110.29,192.81,296.04,Faulty
5343.58,78.2,28.96,34.63,Good
2644.3,78.92,54.7,241.4,Good
6619.6,88.84,163.66,381.6,Good
6960.27,64.83,125.63,112.22,Good
6848.86,88.25,168.44,364.44,Good
7391.95,34.03,105.57,380.57,Good
2391.81,34.86,78.51,114.97,Good
6162.81,71.15,184.76,304.14,Faulty
3954.05,79.47,12.07,103.12,Good
6814.99,109.9,171.95,297.67,Faulty
5963.68,39.42,50.01,320.99,Good
6323.36,104.04,170.5,106.41,Faulty
5421.21,48.9,32.14,289.19,Good
1830.72,65.47,118.14,326.72,Good
4587.7,58.49,178.18,149.85,Good
7885.02,66.01,97.34,75.4,Good
7530.41,43.54,150.58,45.87,Good
823.8,75.32,161.91,234.4,Good
1736.11,102.15,148.62,391.46,Faulty
1487.97,69.74,185.44,330.95,Faulty
5944.85,74.16,92.13,179.98,Good
6633.39,106.39,38.76,219.28,Faulty
2101.34,93.55,14.32,119.02,Good
4293.9,74.14,53.06,73.6,Good
6805.27,53.19,32.92,198.01,Good
5996.01,109.64,113.8,190.77,Faulty
4566.78,81.93,41.06,213.55,Good
4927.61,49.9,12.59,381.59,Good
4312.7,54.22,12.02,245.52,Good
2731.61,102.28,167.16,246.25,Faulty
4737.66,33.97,120.33,59.93,Good
5666.64,119.29,74.83,398.63,Faulty
7049.92,41.73,179.37,311.41,Good
5272.19,101.65,18.69,352.11,Faulty
6208.41,65.53,196.16,171.58,Faulty
1700.54,74.3,125.18,205.83,Good
3961.68,109.26,40.78,213.61,Faulty
569.99,67.16,137.42,85.7,Good
2350.09,78.37,153.86,278.9,Good
5948.46,34.44,88.72,362.16,Good
7938.57,30.21,173.02,73.85,Good
1243.84,52.03,34.39,43.66,Good
3511.21,91.25,59.37,297.91,Good
6500.53,40.91,23.23,116.55,Good
2030.27,40.24,46.12,253.31,Good
4663.14,66.99,51.55,281.35,Good
5998.03,88.31,183.94,135.55,Faulty
5119.89,94.09,20.23,327.91,Good
1910.19,46.06,88.35,224.5,Good
3165.38,37.16,108.82,348.91,Good
6378.44,114.64,180.25,307.68,Faulty
4656.7,53.46,199.55,348.74,Faulty
539.22,106.8,151.91,17.86,Faulty
6207.43,107.71,194.3,104.97,Faulty
764.84,99.53,158.48,45.1,Good
6093.0,45.2,192.82,182.41,Faulty
2018.6,103.96,142.92,357.08,Faulty
7685.55,99.23,20.55,192.34,Good
3259.56,83.71,83.37,341.39,Good
2951.99,60.35,131.09,137.6,Good
1616.66,53.63,73.39,142.43,Good
2792.03,40.97,58.31,359.27,Good
7074.88,75.88,117.59,176.07,Good
7972.51,82.67,187.03,318.01,Faulty
3262.32,62.34,11.82,102.29,Good
3864.58,72.78,155.0,380.03,Good
5915.53,62.72,145.93,234.09,Good
7146.47,87.69,192.97,306.14,Faulty
4947.83,111.11,186.49,44.91,Faulty
3436.44,44.75,153.64,202.14,Good
3594.66,64.33,106.48,361.41,Good
5717.14,42.68,44.83,352.05,Good
524.14,86.24,111.32,28.26,Good
5146.92,95.6,154.24,128.44,Good
3166.2,113.87,179.66,182.89,Faulty
6456.48,55.1,158.99,77.18,Good
1197.43,115.52,43.08,294.7,Faulty
4911.52,35.69,121.94,81.96,Good
4107.3,84.27,69.77,145.19,Good
5317.44,35.14,6.8,268.68,Good
986.4,110.44,44.04,198.01,Faulty
4849.88,77.68,27.08,298.04,Good
4711.13,90.24,169.33,384.87,Good
4704.95,104.84,55.41,55.45,Faulty
5026.16,43.53,60.52,286.73,Good
5573.51,33.47,192.19,99.83,Faulty
6537.42,109.1,78.92,171.65,Faulty
2523.66,58.34,6.87,22.82,Good
6687.87,41.61,60.35,63.0,Good
4236.92,72.16,28.26,134.71,Good
1077.94,83.85,25.05,143.37,Good
939.13,32.79,20.11,360.84,Good
3006.79,54.74,120.69,299.31,Good
6386.73,32.95,41.92,389.15,Good
5807.61,67.83,75.44,243.64,Good
6414.61,110.56,173.09,104.27,Faulty
4379.52,118.44,87.75,137.79,Faulty
3801.49,87.33,183.56,134.74,Faulty
1605.89,44.55,102.1,137.33,Good
2961.45,111.53,82.77,272.46,Faulty
3755.15,76.46,151.33,217.02,Good
1164.5,43.84,19.27,160.32,Good
2154.59,112.96,22.45,68.15,Faulty
4986.69,98.17,132.13,18.63,Good
6017.47,95.85,99.95,95.35,Good
7987.61,93.83,159.13,51.91,Good
7498.35,48.03,183.67,316.32,Faulty
5319.24,48.99,80.73,53.87,Good
3659.36,91.95,121.3,292.45,Good
5271.33,49.78,102.64,160.41,Good
6392.39,69.48,196.41,38.62,Faulty
1387.52,100.38,167.06,326.96,Faulty
3574.29,100.56,182.79,236.06,Faulty
6798.52,70.79,54.6,101.95,Good
3378.75,101.3,155.64,358.93,Faulty
4789.04,105.48,56.77,27.65,Faulty
4908.27,88.93,45.7,88.71,Good
1883.57,50.56,189.13,303.3,Faulty
3216.77,54.66,8.76,286.66,Good
3008.83,58.34,193.25,122.82,Faulty
696.48,40.51,34.11,34.19,Good
681.44,54.58,164.79,344.65,Good
6737.73,48.86,58.8,132.34,Good
2548.03,70.98,73.39,86.33,Good
4385.59,111.76,47.27,211.26,Faulty
2740.44,39.4,119.18,364.99,Good
7555.09,94.82,72.88,26.98,Good
2444.73,91.86,133.19,308.66,Good
3722.43,38.62,8.05,233.26,Good
7045.48,113.03,17.55,175.93,Faulty
6814.5,81.16,24.43,300.19,Good
1895.76,62.74,86.7,386.67,Good
6519.82,98.09,163.89,99.39,Good
3936.4,53.16,178.19,66.02,Good
4122.27,92.42,52.74,366.02,Good
1501.1,33.57,117.0,270.89,Good
1104.51,105.55,154.83,180.81,Faulty
5959.54,70.34,61.32,233.57,Good
4223.46,87.3,84.76,300.79,Good
3776.38,49.91,107.17,311.48,Good
5971.31,90.94,31.3,368.76,Good
6241.35,99.5,10.07,176.47,Good
1691.81,72.59,34.8,124.43,Good
5076.69,85.6,127.24,259.47,Good
1515.16,71.07,19.36,172.13,Good
6135.31,110.47,41.99,241.89,Faulty
5427.16,74.81,70.88,173.79,Good
7674.61,105.76,20.18,69.67,Faulty
1017.19,102.12,42.38,193.08,Faulty
927.91,66.95,182.7,279.46,Faulty
2616.4,50.71,8.76,321.72,Good
2462.79,66.55,132.42,202.4,Good
2352.34,104.36,79.96,74.44,Faulty
7296.91,50.49,136.17,171.73,Good
2371.6,77.2,119.79,316.65,Good
2539.62,102.55,48.58,171.02,Faulty
6195.49,61.81,170.21,281.65,Good
3873.05,87.8,100.93,207.81,Good
6325.33,52.11,165.39,104.08,Good
990.25,39.84,84.17,320.5,Good
4156.78,101.49,197.01,42.84,Faulty
752.1,38.91,155.25,214.71,Good
969.9,54.42,193.36,91.47,Faulty
7298.28,106.96,105.29,36.16,Faulty
1544.34,61.18,97.37,206.14,Good
4493.16,117.57,152.31,204.83,Faulty
3583.22,118.18,176.66,285.69,Faulty
3105.07,54.14,193.01,300.45,Faulty
7248.75,33.69,68.29,293.84,Good
663.68,93.46,160.75,169.73,Good
5478.42,70.59,46.08,256.36,Good
7725.46,39.07,111.39,235.01,Good
4701.26,93.68,40.07,174.41,Good
7526.17,32.81,72.74,242.91,Good
891.93,108.32,186.61,379.43,Faulty
3640.95,42.48,33.49,85.23,Good
2451.18,41.46,128.32,363.25,Good
5981.16,45.81,120.63,30.85,Good
7859.73,116.42,28.54,130.27,Faulty
2423.98,92.39,68.57,122.38,Good
5406.31,102.12,114.78,254.28,Faulty
1985.73,65.79,41.5,61.18,Good
4739.98,60.27,161.12,354.12,Good
3979.49,51.1,194.57,333.14,Faulty
7790.04,73.26,46.88,264.31,Good
5063.95,79.66,41.45,188.78,Good
3121.3,86.86,93.71,373.85,Good
1355.72,53.14,150.81,333.99,Good
1634.35,115.38,59.91,204.73,Faulty
2189.88,45.28,8.88,283.73,Good
2382.25,116.91,110.54,231.1,Faulty
6879.62,31.34,191.54,239.3,Faulty
4709.17,73.3,81.3,139.08,Good
4425.43,60.0,86.93,190.21,Good
1360.77,70.42,193.94,40.47,Faulty
6951.05,81.36,140.45,149.37,Good
5921.11,69.2,145.24,281.37,Good
1007.51,67.34,114.73,381.75,Good
5808.76,95.95,195.05,385.6,Faulty
4576.54,91.73,139.33,226.73,Good
1112.94,104.99,179.53,246.58,Faulty
3937.25,52.5,141.38,82.43,Good
4135.22,84.86,148.35,281.17,Good
1743.31,82.67,61.63,37.56,Good
7592.74,63.28,64.18,121.03,Good
6874.82,73.75,157.68,270.66,Good
5517.67,58.24,62.86,131.02,Good
3967.22,42.77,114.74,29.44,Good
3588.24,49.24,53.62,334.43,Good
5382.3,39.5,164.31,131.03,Good
4590.74,91.48,26.55,34.61,Good
967.05,89.47,166.74,39.17,Good
4343.77,115.55,122.53,108.19,Faulty
6548.03,95.67,41.45,79.43,Good
3944.3,34.68,110.7,311.98,Good
889.67,109.58,60.09,135.46,Faulty
6397.09,107.64,68.08,323.83,Faulty
2010.23,69.9,73.55,77.8,Good
2439.66,82.73,17.35,202.22,Good
1735.3,117.85,197.26,278.33,Faulty
2976.61,77.91,11.15,264.28,Good
6175.64,111.48,134.19,244.44,Faulty
4395.39,37.47,77.39,370.68,Good
2036.61,47.19,130.97,99.12,Good
7083.73,69.67,74.47,202.55,Good
7096.86,82.63,136.38,354.76,Good
7029.34,103.46,147.2,40.38,Faulty
2290.97,118.94,139.66,31.8,Faulty
3884.3,65.0,27.22,100.99,Good
7887.42,34.27,133.09,256.88,Good
6290.09,102.11,59.6,111.35,Faulty
703.76,84.39,10.62,84.19,Good
989.03,47.87,85.89,188.93,Good
3979.49,74.53,89.54,249.3,Good
7319.15,96.81,96.1,106.94,Good
4540.26,99.34,142.44,127.27,Good
4233.59,74.97,65.22,249.29,Good
1291.05,57.47,66.48,378.84,Good
5425.85,117.64,16.81,273.15,Faulty
6665.77,89.7,138.93,315.33,Good
3353.15,66.74,115.73,153.06,Good
6317.09,55.24,73.14,116.18,Good
7733.57,95.8,142.51,187.16,Good
2028.25,51.8,109.78,324.78,Good
4424.97,45.45,96.5,187.96,Good
2653.53,77.69,104.71,340.22,Good
6446.41,56.1,129.09,395.62,Good
4831.95,86.6,133.7,38.09,Good
5259.37,40.61,61.35,27.71,Good
6484.36,88.94,32.44,68.34,Good
3469.78,55.5,35.54,159.9,Good
7363.18,30.02,129.68,61.11,Good
4497.72,41.42,175.21,349.56,Good
1684.66,114.03,84.85,19.03,Faulty
5719.24,108.06,38.06,133.16,Faulty
6449.46,51.02,152.54,82.03,Good
2875.71,100.05,167.34,373.3,Faulty
6928.84,84.77,176.71,271.1,Good
7296.07,117.38,123.33,365.69,Faulty
2576.78,63.62,172.84,389.21,Good
7876.41,91.33,8.01,203.87,Good
1555.34,35.72,25.91,101.38,Good
2015.12,65.66,23.05,85.55,Good
1881.69,116.74,143.96,96.94,Faulty
7204.92,78.51,18.57,286.35,Good
5407.19,55.91,101.79,25.77,Good
1640.78,40.82,97.18,30.03,Good
3802.43,93.32,65.59,247.18,Good
5114.74,88.04,174.73,260.4,Good
1125.98,63.65,38.23,269.45,Good
7118.12,115.58,73.73,155.03,Faulty
