Speed (km/h),Voltage Fluctuation (V),Battery Discharge Rate (C),Ambient Temp (°C),SoC (%),Motor Power (kW),Vehicle Status
64.63,0.22,0.14,25.94,70.41,8.34,Good Condition
37.31,0.19,0.1,39.98,81.97,5.81,Good Condition
92.57,0.54,0.29,11.52,60.87,17.41,Good Condition
106.02,0.89,0.55,37.5,61.49,32.81,Good Condition
25.06,0.16,0.0,-0.33,86.71,0.08,Not Good
25.14,0.04,0.0,-2.91,94.17,0.0,Not Good
5.5,0.43,0.22,20.2,98.03,13.48,Good Condition
110.46,0.81,0.48,-2.02,57.97,28.99,Not Good
99.57,0.37,0.29,14.62,56.27,17.31,Good Condition
71.19,0.39,0.31,39.84,69.21,18.37,Good Condition
126.63,1.08,0.68,7.07,53.93,40.7,Good Condition
120.85,0.78,0.34,30.3,49.32,20.37,Good Condition
87.8,0.93,0.49,10.12,62.84,29.1,Good Condition
130.24,0.87,0.52,-2.75,44.88,30.92,Not Good
30.88,0.46,0.41,22.83,83.94,24.47,Good Condition
16.79,0.24,0.15,36.74,90.62,8.78,Good Condition
40.46,0.26,0.1,15.47,85.24,6.18,Good Condition
8.56,0.16,0.0,25.86,96.13,0.0,Good Condition
79.68,0.81,0.36,40.0,68.67,21.9,Not Good
140.49,1.17,0.86,34.48,40.03,51.46,Good Condition
5.9,0.37,0.01,4.69,100.0,0.76,Good Condition
18.32,0.12,0.03,31.67,95.51,1.76,Good Condition
67.83,0.75,0.33,20.09,68.08,19.5,Good Condition
140.08,1.0,0.65,32.3,42.8,39.13,Good Condition
47.42,0.22,0.15,19.73,76.72,8.88,Good Condition
76.09,0.45,0.01,1.4,72.49,0.86,Good Condition
6.24,0.3,0.18,23.5,99.88,10.82,Good Condition
22.25,0.16,0.13,19.61,95.12,7.95,Good Condition
147.99,0.94,0.68,20.9,38.17,40.51,Good Condition
144.77,1.32,1.1,38.95,41.66,65.98,Good Condition
0.74,0.06,0.02,39.74,96.55,0.95,Good Condition
142.77,0.7,0.6,17.68,41.6,35.85,Good Condition
95.87,1.05,0.62,17.79,61.88,37.22,Good Condition
130.19,1.02,0.76,20.76,43.46,45.35,Good Condition
68.21,0.71,0.38,20.98,74.86,22.99,Good Condition
77.34,0.37,0.3,42.52,69.5,17.89,Not Good
73.33,0.42,0.42,27.47,73.96,25.28,Good Condition
100.03,0.55,0.46,8.87,57.71,27.54,Good Condition
20.95,0.28,0.17,21.58,95.65,10.18,Good Condition
4.5,0.12,0.0,26.36,100.0,0.0,Good Condition
46.19,0.21,0.13,26.99,85.72,7.59,Good Condition
105.7,1.03,0.82,24.26,60.5,49.44,Good Condition
30.28,0.16,0.0,3.89,91.01,0.0,Good Condition
101.01,0.78,0.41,-3.32,60.33,24.47,Not Good
145.49,0.73,0.71,11.89,38.71,42.79,Good Condition
14.09,0.23,0.0,16.38,96.14,0.0,Good Condition
100.89,0.13,0.14,-1.91,61.77,8.38,Not Good
66.56,0.48,0.27,35.75,78.23,16.19,Good Condition
130.22,0.67,0.71,12.2,48.32,42.74,Good Condition
26.57,0.57,0.09,40.68,87.08,5.62,Not Good
103.89,0.85,0.5,2.72,60.28,30.11,Good Condition
125.72,0.85,0.67,-2.15,54.51,40.1,Not Good
141.69,0.88,0.93,19.12,40.1,56.02,Good Condition
102.49,0.73,0.49,4.46,57.27,29.14,Good Condition
74.58,0.61,0.26,41.87,70.59,15.46,Not Good
92.68,0.47,0.41,-4.48,59.63,24.7,Not Good
130.34,0.99,0.79,15.63,43.09,47.22,Good Condition
85.59,0.99,0.65,41.34,64.13,39.13,Not Good
4.56,0.38,0.0,14.22,100.0,0.0,Good Condition
139.64,1.09,0.77,-0.34,39.58,45.99,Not Good
103.43,0.96,0.58,10.14,57.92,34.77,Good Condition
101.48,0.78,0.35,19.9,62.03,20.75,Good Condition
32.35,0.32,0.13,4.26,91.59,7.99,Good Condition
98.83,0.51,0.25,18.33,65.32,15.06,Good Condition
59.08,0.4,0.0,36.82,75.59,0.0,Good Condition
97.68,0.84,0.55,38.63,65.43,32.97,Good Condition
15.99,0.5,0.0,-2.54,88.96,0.0,Not Good
98.68,0.48,0.53,3.05,62.99,31.69,Good Condition
149.91,0.91,0.81,8.76,41.46,48.82,Good Condition
7.23,0.14,0.0,24.74,94.6,0.0,Good Condition
146.58,0.84,0.79,13.05,41.44,47.24,Good Condition
61.04,0.18,0.07,37.2,71.88,4.34,Good Condition
130.61,1.19,0.92,30.83,51.47,55.44,Good Condition
117.36,0.39,0.38,0.02,51.64,22.97,Good Condition
85.05,0.71,0.38,26.23,67.24,22.86,Good Condition
110.77,0.7,0.39,0.65,52.28,23.66,Good Condition
131.78,0.84,0.79,7.75,44.35,47.68,Good Condition
60.62,0.32,0.22,3.89,80.67,13.22,Good Condition
49.05,0.43,0.13,3.65,82.91,7.64,Good Condition
100.14,0.96,0.65,25.82,64.56,38.72,Good Condition
121.18,1.01,0.64,23.18,49.49,38.25,Good Condition
114.34,1.03,0.68,3.8,50.91,40.57,Good Condition
119.67,0.9,0.46,44.51,52.16,27.58,Not Good
65.34,0.35,0.07,16.09,73.81,4.04,Good Condition
122.68,1.05,0.66,-0.15,47.68,39.59,Not Good
18.03,0.41,0.01,1.03,95.12,0.67,Good Condition
81.67,0.9,0.5,24.19,65.95,29.91,Good Condition
0.86,0.01,0.0,43.95,96.52,0.0,Not Good
48.69,0.7,0.25,23.6,78.84,14.76,Good Condition
54.97,0.24,0.0,42.45,78.65,0.0,Not Good
59.43,0.92,0.58,17.21,78.49,35.03,Good Condition
104.32,0.51,0.5,16.79,58.09,30.07,Good Condition
58.28,0.54,0.38,20.0,76.94,22.75,Good Condition
67.3,0.29,0.17,29.87,69.47,10.38,Good Condition
35.63,0.32,0.2,13.38,89.89,11.82,Good Condition
55.99,0.09,0.03,38.19,81.89,2.0,Good Condition
34.09,0.59,0.21,-3.54,88.2,12.81,Not Good
10.98,0.0,0.0,16.99,90.78,0.0,Good Condition
90.52,0.56,0.45,20.55,64.16,27.04,Good Condition
100.23,0.65,0.62,25.35,61.2,37.21,Good Condition
92.92,0.52,0.25,8.8,67.78,15.28,Good Condition
69.52,0.32,0.21,16.37,77.15,12.64,Good Condition
56.97,0.43,0.33,19.23,80.79,19.92,Good Condition
129.5,1.18,1.03,29.35,43.84,62.09,Good Condition
77.86,0.64,0.35,33.68,73.39,20.94,Good Condition
71.88,0.45,0.44,31.89,72.38,26.19,Good Condition
3.85,0.09,0.0,12.08,100.0,0.0,Good Condition
51.19,0.62,0.55,44.97,78.6,32.92,Not Good
57.03,0.49,0.0,37.43,75.38,0.0,Good Condition
59.82,0.46,0.29,8.0,75.7,17.22,Good Condition
87.03,0.44,0.15,4.76,61.66,9.26,Good Condition
80.04,0.12,0.0,10.7,66.55,0.0,Good Condition
91.19,0.69,0.5,17.62,67.1,29.96,Good Condition
114.73,0.59,0.62,37.54,49.49,36.94,Good Condition
121.95,0.55,0.59,33.92,47.73,35.4,Good Condition
107.72,0.71,0.53,37.56,53.16,31.89,Good Condition
143.33,1.36,1.29,8.6,41.7,77.41,Good Condition
2.73,0.07,0.0,24.67,100.0,0.0,Good Condition
29.37,0.52,0.2,9.16,84.99,12.03,Good Condition
1.13,0.5,0.0,0.45,96.0,0.0,Good Condition
97.12,0.68,0.53,29.21,65.3,32.06,Good Condition
134.7,0.92,0.68,2.15,49.94,40.71,Good Condition
36.52,0.55,0.08,28.38,80.71,4.9,Good Condition
139.06,1.36,1.05,27.4,46.89,62.96,Good Condition
9.04,0.43,0.22,35.51,97.94,13.46,Good Condition
140.17,1.07,0.78,1.98,46.61,46.57,Good Condition
52.74,0.06,0.0,34.17,78.85,0.0,Good Condition
15.21,0.26,0.0,44.96,98.83,0.0,Not Good
72.88,0.85,0.79,37.55,66.29,47.65,Good Condition
38.52,0.19,0.12,32.59,81.94,7.29,Good Condition
42.73,0.54,0.36,28.11,81.87,21.9,Good Condition
46.09,0.46,0.44,16.09,81.06,26.32,Good Condition
120.45,0.95,0.66,31.53,56.03,39.87,Good Condition
80.87,0.45,0.25,31.21,68.25,14.95,Good Condition
46.7,0.27,0.0,26.57,76.77,0.0,Good Condition
91.55,0.58,0.57,34.81,62.46,33.95,Good Condition
107.42,0.44,0.41,17.44,56.2,24.7,Good Condition
40.89,0.47,0.2,1.06,88.3,12.07,Good Condition
62.03,0.56,0.07,22.95,76.18,4.5,Good Condition
18.28,0.07,0.02,8.25,94.04,1.27,Good Condition
27.17,0.24,0.11,14.22,91.26,6.65,Good Condition
102.17,0.94,0.56,-4.13,61.83,33.61,Not Good
27.22,0.04,0.0,14.14,90.46,0.0,Good Condition
78.77,0.96,0.58,35.44,65.86,34.61,Good Condition
106.36,0.66,0.44,22.14,61.2,26.49,Good Condition
16.03,0.2,0.0,-4.51,95.91,0.0,Not Good
85.1,0.51,0.4,18.49,68.38,23.75,Good Condition
38.48,0.3,0.17,9.57,89.57,9.93,Good Condition
144.44,0.88,0.81,18.88,45.25,48.47,Good Condition
72.53,0.95,0.57,15.23,74.28,34.12,Good Condition
120.9,0.89,0.59,41.6,56.15,35.49,Not Good
82.53,0.68,0.38,-2.94,63.5,22.74,Not Good
6.51,0.4,0.0,29.18,97.37,0.0,Good Condition
94.97,0.68,0.61,37.55,62.82,36.54,Good Condition
142.71,1.03,0.8,42.96,41.21,48.03,Not Good
90.24,0.57,0.37,3.88,67.3,22.45,Good Condition
122.88,0.68,0.33,21.57,53.47,19.55,Good Condition
132.63,1.01,0.95,-2.82,49.16,56.75,Not Good
34.21,0.32,0.0,19.96,91.29,0.0,Good Condition
31.81,0.47,0.03,1.27,84.87,1.71,Good Condition
91.65,0.66,0.51,36.89,65.7,30.73,Good Condition
61.65,0.11,0.08,0.69,75.85,4.91,Good Condition
125.98,0.63,0.41,20.66,47.74,24.83,Good Condition
135.0,0.5,0.37,21.05,42.6,21.97,Good Condition
53.01,0.66,0.35,43.58,82.75,21.28,Not Good
35.53,0.52,0.05,27.75,86.74,3.26,Good Condition
117.08,1.23,1.09,9.39,56.42,65.69,Good Condition
41.22,0.24,0.01,7.04,83.97,0.46,Good Condition
123.39,0.77,0.49,1.41,47.84,29.58,Good Condition
63.56,0.23,0.2,32.83,72.95,11.84,Good Condition
100.13,0.62,0.54,29.54,58.76,32.62,Good Condition
14.33,0.46,0.0,25.49,99.0,0.0,Good Condition
93.58,0.84,0.57,-2.96,57.62,33.96,Not Good
67.77,0.14,0.15,33.14,77.75,9.11,Good Condition
87.99,0.28,0.2,27.09,69.61,12.04,Good Condition
25.2,0.34,0.0,43.19,94.88,0.0,Not Good
110.53,0.56,0.2,24.36,55.55,11.76,Good Condition
129.42,0.96,0.6,10.2,52.87,35.89,Good Condition
32.51,0.22,0.08,14.08,85.95,4.82,Good Condition
14.36,0.47,0.0,3.79,89.52,0.0,Good Condition
3.55,0.47,0.22,31.15,95.83,12.98,Good Condition
96.3,0.96,0.68,30.39,65.93,41.09,Good Condition
91.06,0.65,0.39,5.03,58.71,23.59,Good Condition
82.0,0.15,0.1,2.92,67.66,5.82,Good Condition
34.79,0.52,0.05,-1.15,81.84,2.82,Not Good
58.64,0.21,0.16,40.6,74.41,9.89,Not Good
89.17,0.42,0.33,6.65,60.21,19.7,Good Condition
74.52,0.62,0.24,12.21,73.79,14.2,Good Condition
148.17,0.94,0.7,9.03,41.64,41.78,Good Condition
20.47,0.43,0.01,15.68,95.83,0.63,Good Condition
104.27,0.64,0.42,30.7,60.17,25.34,Good Condition
60.65,0.47,0.31,38.53,80.45,18.62,Good Condition
64.23,0.78,0.36,4.13,74.41,21.32,Good Condition
107.64,0.38,0.4,29.32,58.33,23.82,Good Condition
103.87,1.09,0.74,12.63,59.22,44.26,Good Condition
148.69,0.7,0.65,44.03,40.37,38.72,Not Good
19.26,0.42,0.0,9.95,95.76,0.0,Good Condition
15.62,0.18,0.12,-4.64,95.2,7.05,Not Good
108.65,0.67,0.42,20.78,59.55,25.12,Good Condition
86.76,0.87,0.48,2.54,68.16,28.63,Good Condition
41.12,0.24,0.0,-2.78,80.46,0.0,Not Good
11.91,0.62,0.27,29.91,96.74,16.27,Good Condition
12.85,0.54,0.15,31.61,91.86,9.29,Good Condition
134.13,0.79,0.46,18.03,47.18,27.87,Good Condition
28.78,0.46,0.0,28.84,90.26,0.0,Good Condition
48.51,0.66,0.49,21.91,85.57,29.37,Good Condition
34.0,0.1,0.01,26.49,81.71,0.89,Good Condition
53.25,0.11,0.1,24.84,74.61,5.81,Good Condition
10.41,0.12,0.0,28.29,91.6,0.0,Good Condition
77.86,0.35,0.31,4.98,67.84,18.82,Good Condition
10.14,0.28,0.0,8.44,99.16,0.0,Good Condition
120.05,0.76,0.74,17.0,55.42,44.69,Good Condition
35.06,0.02,0.0,17.31,88.35,0.0,Good Condition
81.0,0.14,0.14,33.72,71.57,8.21,Good Condition
132.01,1.11,0.78,13.37,45.42,46.57,Good Condition
97.63,0.89,0.66,3.13,56.83,39.36,Good Condition
79.94,0.29,0.12,7.57,63.6,7.33,Good Condition
48.65,0.8,0.39,5.74,84.06,23.51,Good Condition
49.95,0.24,0.22,31.58,82.32,13.48,Good Condition
100.42,1.11,0.69,18.52,61.82,41.21,Good Condition
149.12,1.03,0.8,30.43,38.75,47.99,Good Condition
99.28,0.16,0.08,15.81,59.09,4.66,Good Condition
83.67,0.68,0.38,39.49,71.11,22.82,Good Condition
109.6,1.05,0.74,44.18,51.8,44.25,Not Good
69.78,0.37,0.18,28.49,74.82,10.64,Good Condition
9.02,0.43,0.0,38.19,94.49,0.0,Good Condition
84.34,0.42,0.38,20.4,61.65,22.81,Good Condition
143.64,0.4,0.29,41.73,44.97,17.56,Not Good
26.3,0.39,0.38,36.58,87.79,22.78,Good Condition
103.5,0.44,0.37,44.59,60.82,22.4,Not Good
30.14,0.3,0.2,26.15,90.02,12.2,Good Condition
80.37,0.79,0.37,33.96,68.2,22.32,Good Condition
14.5,0.27,0.26,22.14,96.97,15.55,Good Condition
67.56,0.56,0.38,7.96,73.79,22.89,Good Condition
113.42,0.76,0.55,12.74,52.5,32.71,Good Condition
52.14,0.52,0.08,39.7,81.49,4.86,Good Condition
99.74,1.07,0.63,-2.2,61.0,38.03,Not Good
119.32,0.65,0.31,24.57,47.4,18.52,Good Condition
139.08,1.25,0.85,13.62,48.39,51.24,Good Condition
35.2,0.39,0.0,14.33,86.38,0.0,Good Condition
59.9,0.91,0.48,39.23,79.73,28.82,Good Condition
22.86,0.45,0.11,37.69,94.68,6.74,Good Condition
148.87,0.87,0.92,24.94,39.9,55.03,Good Condition
139.05,0.88,0.76,8.65,44.46,45.59,Good Condition
80.99,0.41,0.1,18.77,66.76,5.88,Good Condition
126.3,0.64,0.52,15.41,48.97,31.28,Good Condition
78.14,0.57,0.49,12.68,72.69,29.14,Good Condition
93.54,0.73,0.49,0.14,65.47,29.49,Good Condition
13.37,0.68,0.24,22.16,90.92,14.5,Good Condition
113.29,0.6,0.65,10.09,55.79,39.04,Good Condition
19.16,0.38,0.0,28.04,97.3,0.0,Good Condition
123.91,0.83,0.52,10.96,51.39,31.03,Good Condition
117.3,1.04,0.63,16.56,55.94,37.53,Good Condition
106.31,0.6,0.15,-2.38,60.17,9.3,Not Good
5.42,0.65,0.29,44.63,96.33,17.65,Not Good
45.47,0.5,0.27,20.38,80.53,16.12,Good Condition
39.47,0.43,0.37,-3.79,86.45,22.15,Not Good
54.02,0.27,0.0,22.06,78.39,0.0,Good Condition
13.15,0.61,0.25,38.52,95.45,15.09,Good Condition
140.54,1.46,1.13,33.63,45.91,67.66,Good Condition
83.07,0.56,0.18,30.05,69.55,10.92,Good Condition
45.83,0.39,0.33,1.97,79.38,19.53,Good Condition
59.55,0.54,0.27,27.89,72.65,16.19,Good Condition
67.08,0.21,0.05,33.31,71.09,3.22,Good Condition
90.09,0.48,0.53,23.62,64.04,31.52,Good Condition
77.35,0.56,0.51,39.64,67.48,30.48,Good Condition
137.91,0.63,0.64,8.85,45.52,38.32,Good Condition
74.54,0.91,0.55,7.11,65.72,32.85,Good Condition
148.82,0.61,0.53,38.48,40.57,31.9,Good Condition
127.71,0.52,0.42,26.27,47.59,25.48,Good Condition
31.28,0.61,0.15,-4.93,87.84,8.84,Not Good
139.59,0.87,0.75,12.66,43.39,45.23,Good Condition
17.45,0.0,0.0,37.89,90.86,0.0,Good Condition
122.62,0.84,0.78,-3.63,54.99,46.59,Not Good
57.09,0.37,0.34,-4.84,74.01,20.69,Not Good
131.7,0.81,0.84,9.06,49.14,50.53,Good Condition
130.21,0.64,0.67,40.7,52.16,40.14,Not Good
120.89,0.95,0.73,40.07,52.03,43.87,Not Good
118.5,0.58,0.54,20.94,56.36,32.5,Good Condition
45.7,0.67,0.54,22.66,77.97,32.32,Good Condition
12.14,0.43,0.0,11.6,95.08,0.0,Good Condition
60.45,0.78,0.63,7.19,75.39,37.53,Good Condition
26.03,0.55,0.11,35.76,84.67,6.34,Good Condition
104.24,0.52,0.3,0.31,57.74,17.93,Good Condition
51.91,0.61,0.46,19.37,77.92,27.41,Good Condition
146.34,1.11,0.81,26.72,43.16,48.86,Good Condition
96.15,0.6,0.62,0.18,65.92,37.27,Good Condition
123.37,0.81,0.85,20.98,46.51,51.02,Good Condition
19.88,0.44,0.13,23.88,90.32,7.72,Good Condition
129.3,0.77,0.59,32.12,47.72,35.11,Good Condition
138.41,1.21,0.9,6.74,44.19,54.28,Good Condition
73.06,0.77,0.34,9.67,73.52,20.69,Good Condition
90.94,0.7,0.56,23.48,63.06,33.75,Good Condition
114.72,0.51,0.23,44.16,49.38,14.01,Not Good
26.23,0.41,0.18,5.87,91.61,10.52,Good Condition
75.38,0.72,0.25,44.3,73.69,15.09,Not Good
59.8,0.91,0.55,30.72,76.22,32.8,Good Condition
21.96,0.62,0.19,36.3,92.03,11.12,Good Condition
55.13,0.38,0.29,-0.52,74.58,17.15,Not Good
10.23,0.49,0.11,10.02,93.12,6.82,Good Condition
3.87,0.13,0.0,-2.11,95.8,0.0,Not Good
20.27,0.41,0.34,13.58,91.2,20.67,Good Condition
144.47,1.47,1.11,44.06,46.49,66.78,Not Good
82.43,0.43,0.46,0.26,67.25,27.83,Good Condition
144.87,1.43,1.05,23.12,38.97,62.93,Good Condition
64.87,0.26,0.2,-4.7,71.71,12.24,Not Good
46.77,0.47,0.07,30.63,80.13,4.14,Good Condition
75.92,0.47,0.37,4.86,70.86,22.07,Good Condition
65.93,0.51,0.38,1.48,73.03,22.63,Good Condition
15.85,0.11,0.0,11.85,92.58,0.0,Good Condition
96.12,0.8,0.57,33.55,62.2,34.12,Good Condition
32.41,0.34,0.18,0.33,84.46,10.86,Good Condition
92.94,0.59,0.29,6.49,58.61,17.62,Good Condition
97.53,0.52,0.57,-4.58,56.23,34.44,Not Good
22.8,0.24,0.23,43.42,88.39,13.75,Not Good
9.2,0.1,0.06,24.61,92.23,3.44,Good Condition
117.11,0.93,0.8,30.99,51.52,47.96,Good Condition
68.97,0.51,0.12,27.57,75.14,7.13,Good Condition
8.72,0.54,0.1,2.22,98.67,6.29,Good Condition
149.23,0.68,0.62,24.75,41.42,37.03,Good Condition
8.67,0.29,0.0,1.57,100.0,0.0,Good Condition
104.26,0.76,0.42,15.06,56.12,25.38,Good Condition
147.55,0.72,0.64,23.45,44.83,38.65,Good Condition
35.88,0.25,0.06,22.94,84.64,3.33,Good Condition
21.34,0.3,0.04,0.95,90.47,2.58,Good Condition
18.21,0.25,0.2,-3.28,91.77,12.28,Not Good
45.49,0.14,0.14,34.91,77.78,8.5,Good Condition
15.16,0.08,0.0,31.3,98.69,0.0,Good Condition
103.82,0.96,0.72,-0.91,54.86,42.93,Not Good
9.34,0.04,0.0,1.37,94.67,0.0,Good Condition
76.41,0.41,0.35,39.63,67.63,21.24,Good Condition
149.5,0.97,0.89,33.46,35.94,53.3,Good Condition
122.1,0.64,0.67,44.81,47.68,40.3,Not Good
92.28,0.67,0.64,7.7,58.54,38.32,Good Condition
45.94,0.71,0.28,19.39,79.55,16.64,Good Condition
93.58,0.3,0.32,6.82,66.23,19.22,Good Condition
79.06,0.99,0.74,26.14,66.77,44.52,Good Condition
63.91,0.49,0.33,0.77,70.67,19.56,Good Condition
19.61,0.38,0.05,1.36,93.61,2.79,Good Condition
132.99,1.08,0.87,-1.41,51.77,52.08,Not Good
67.47,0.43,0.35,29.68,70.34,21.29,Good Condition
29.19,0.59,0.18,19.7,86.12,10.87,Good Condition
55.16,0.84,0.66,25.89,82.65,39.68,Good Condition
62.12,0.63,0.24,38.97,71.94,14.27,Good Condition
124.13,0.74,0.6,32.02,50.46,35.89,Good Condition
110.04,1.02,0.58,18.09,53.38,34.98,Good Condition
115.4,1.08,0.78,44.22,58.17,46.51,Not Good
1.65,0.48,0.0,17.81,100.0,0.0,Good Condition
62.42,0.26,0.0,0.62,78.18,0.0,Good Condition
72.2,0.45,0.24,44.63,69.27,14.52,Not Good
2.88,0.38,0.0,-3.86,97.88,0.0,Not Good
38.97,0.52,0.09,22.49,81.83,5.48,Good Condition
114.04,1.09,0.67,10.45,58.29,40.32,Good Condition
20.57,0.16,0.0,20.18,95.92,0.0,Good Condition
80.3,0.53,0.15,22.94,67.07,8.9,Good Condition
32.28,0.23,0.14,7.0,88.65,8.45,Good Condition
1.82,0.41,0.15,22.84,95.93,8.87,Good Condition
36.18,0.09,0.0,32.8,84.88,0.0,Good Condition
146.38,1.01,0.93,8.33,42.76,55.82,Good Condition
120.23,1.15,0.76,14.17,50.76,45.77,Good Condition
143.94,0.92,0.94,8.41,41.0,56.21,Good Condition
73.18,0.81,0.55,36.03,65.74,32.91,Good Condition
16.46,0.68,0.42,31.25,96.46,25.48,Good Condition
82.19,0.36,0.34,38.56,71.02,20.26,Good Condition
68.16,0.46,0.34,3.5,77.43,20.12,Good Condition
126.65,0.82,0.6,-1.32,51.53,35.86,Not Good
14.71,0.14,0.05,0.97,94.6,3.04,Good Condition
73.24,0.94,0.6,3.05,68.4,36.07,Good Condition
22.51,0.49,0.0,21.65,95.99,0.0,Good Condition
48.7,0.17,0.07,43.55,81.42,4.1,Not Good
110.6,0.81,0.8,12.86,57.57,47.79,Good Condition
71.4,0.68,0.51,42.93,73.26,30.32,Not Good
56.38,0.55,0.19,-3.09,80.9,11.52,Not Good
59.17,0.51,0.41,41.34,71.43,24.6,Not Good
68.92,0.35,0.38,4.06,69.64,22.7,Good Condition
117.75,1.05,0.86,40.62,54.55,51.68,Not Good
133.81,1.13,0.72,-2.19,50.43,43.5,Not Good
143.3,1.05,0.94,42.41,44.53,56.67,Not Good
118.04,1.16,1.05,5.04,51.92,63.2,Good Condition
47.31,0.76,0.3,10.14,79.69,18.26,Good Condition
103.22,0.82,0.53,19.55,61.09,31.8,Good Condition
65.64,0.74,0.42,14.04,76.16,25.41,Good Condition
38.2,0.37,0.1,28.38,85.79,5.85,Good Condition
126.13,1.44,1.06,43.74,47.46,63.71,Not Good
5.76,0.39,0.05,25.32,100.0,2.78,Good Condition
135.26,1.06,0.68,31.07,46.41,40.58,Good Condition
69.22,0.52,0.18,-0.6,75.22,11.03,Not Good
95.58,0.96,0.66,26.39,58.91,39.52,Good Condition
98.9,0.72,0.64,17.69,58.88,38.42,Good Condition
134.27,0.72,0.63,39.29,50.04,37.96,Good Condition
95.5,0.91,0.57,14.41,57.3,34.29,Good Condition
92.09,0.33,0.2,28.97,63.29,12.22,Good Condition
10.0,0.34,0.06,6.41,95.82,3.75,Good Condition
77.76,0.53,0.45,7.97,71.41,26.82,Good Condition
22.53,0.74,0.37,13.81,88.81,22.11,Good Condition
110.62,0.45,0.44,10.2,52.94,26.31,Good Condition
76.83,0.55,0.15,7.69,73.53,9.19,Good Condition
102.03,0.63,0.37,-2.52,59.9,21.93,Not Good
6.25,0.09,0.0,36.84,93.55,0.0,Good Condition
12.72,0.51,0.27,-1.78,91.84,15.9,Not Good
107.45,0.87,0.81,39.37,62.01,48.34,Good Condition
10.81,0.24,0.09,1.27,92.63,5.29,Good Condition
10.69,0.39,0.24,-1.74,96.83,14.27,Not Good
1.82,0.06,0.03,23.15,98.47,1.59,Good Condition
143.48,1.18,0.76,20.12,46.47,45.53,Good Condition
110.63,0.48,0.51,19.56,58.3,30.7,Good Condition
52.99,0.5,0.18,23.73,79.77,10.96,Good Condition
44.48,0.19,0.0,9.35,77.32,0.0,Good Condition
52.46,0.57,0.28,28.15,82.82,16.54,Good Condition
116.2,0.71,0.59,20.12,52.97,35.69,Good Condition
99.21,0.9,0.62,11.74,64.63,37.31,Good Condition
27.78,0.48,0.12,36.33,88.84,7.42,Good Condition
26.12,0.41,0.07,31.39,91.5,4.39,Good Condition
14.76,0.06,0.0,14.68,89.79,0.0,Good Condition
99.05,0.79,0.51,37.38,62.83,30.52,Good Condition
114.66,0.78,0.72,41.01,52.52,42.9,Not Good
39.76,0.01,0.0,21.84,82.61,0.0,Good Condition
3.14,0.23,0.02,5.75,94.93,1.35,Good Condition
12.33,0.29,0.08,40.79,91.54,4.77,Not Good
145.18,0.83,0.67,4.47,38.79,39.97,Good Condition
44.32,0.43,0.09,-2.58,80.56,5.47,Not Good
115.38,0.73,0.63,11.37,57.77,38.1,Good Condition
93.7,0.41,0.28,31.35,61.2,16.54,Good Condition
57.29,0.31,0.32,41.16,79.33,18.95,Not Good
30.85,0.34,0.0,26.86,83.49,0.0,Good Condition
18.21,0.5,0.24,42.59,93.63,14.53,Not Good
92.25,0.94,0.85,-0.38,62.92,50.74,Not Good
116.2,0.76,0.46,-1.96,58.3,27.48,Not Good
96.59,0.78,0.57,25.21,64.83,34.25,Good Condition
79.55,0.47,0.26,43.31,67.73,15.64,Not Good
6.29,0.43,0.19,20.14,100.0,11.5,Good Condition
145.27,0.84,0.58,-2.42,38.82,34.53,Not Good
119.81,0.96,0.7,6.06,52.7,42.25,Good Condition
43.92,0.18,0.04,7.24,78.18,2.5,Good Condition
147.0,0.76,0.76,11.89,39.68,45.79,Good Condition
90.28,0.32,0.27,-2.82,61.15,16.35,Not Good
87.36,0.83,0.56,40.24,67.24,33.86,Not Good
112.21,0.83,0.44,20.78,55.02,26.24,Good Condition
121.77,0.86,0.73,28.55,53.8,43.7,Good Condition
98.47,0.48,0.44,-1.64,60.76,26.15,Not Good
19.21,0.42,0.05,-2.29,88.18,3.02,Not Good
50.74,0.64,0.25,24.32,82.06,14.83,Good Condition
139.21,1.0,0.62,39.36,47.65,37.21,Good Condition
33.69,0.46,0.17,21.42,90.56,10.27,Good Condition
55.83,0.88,0.5,38.89,78.39,30.28,Good Condition
64.81,0.16,0.17,35.55,76.61,10.13,Good Condition
65.91,0.5,0.5,-1.21,76.16,30.0,Not Good
91.94,0.68,0.7,5.1,59.78,42.23,Good Condition
141.46,0.92,0.63,27.89,40.06,37.54,Good Condition
36.1,0.03,0.0,17.18,81.27,0.0,Good Condition
18.23,0.35,0.12,9.53,90.91,6.93,Good Condition
29.62,0.26,0.03,15.93,87.89,1.53,Good Condition
133.04,1.07,1.02,17.26,51.76,61.14,Good Condition
96.87,0.88,0.49,40.53,60.56,29.36,Not Good
42.89,0.13,0.05,0.17,85.11,2.89,Good Condition
122.39,0.58,0.45,8.99,52.98,26.94,Good Condition
129.21,1.17,0.86,21.88,45.36,51.89,Good Condition
126.98,0.53,0.57,29.91,44.79,34.44,Good Condition
137.84,1.01,0.75,26.53,45.32,44.74,Good Condition
37.84,0.69,0.32,42.08,86.87,18.95,Not Good
113.26,0.92,0.5,34.78,59.68,30.16,Good Condition
69.08,0.72,0.31,22.85,70.95,18.88,Good Condition
126.3,0.76,0.66,5.73,53.44,39.72,Good Condition
109.27,0.9,0.67,17.54,55.11,40.36,Good Condition
116.47,0.67,0.7,29.67,55.31,42.1,Good Condition
