Pack Voltage (V),Pack Current (A),Pack Power (W),SoC (%),SoH (%),Battery Temp (°C),Battery Status
362.27,-57.32,-20767.02,52.29,92.8,44.35,Healthy
305.64,-39.38,-12036.69,76.19,84.53,53.07,Non-Healthy
319.95,80.92,25890.49,64.57,86.13,31.08,Healthy
388.56,93.28,36245.47,88.24,71.79,31.68,Non-Healthy
309.94,-29.89,-9264.92,45.2,86.67,49.92,Healthy
372.38,134.15,49953.01,61.89,93.74,25.24,Healthy
329.44,-28.06,-9244.53,58.83,87.21,53.11,Non-Healthy
346.72,81.55,28274.93,48.31,77.96,37.76,Non-Healthy
334.64,-4.84,-1618.61,91.32,90.03,52.42,Non-Healthy
342.68,119.26,40868.0,33.27,80.84,31.79,Non-Healthy
386.29,122.33,47253.68,31.96,86.35,45.06,Healthy
335.65,-123.77,-41545.63,66.15,84.63,36.9,Non-Healthy
367.97,130.95,48184.75,72.6,81.44,41.94,Non-Healthy
357.13,97.66,34877.09,35.57,91.57,37.65,Healthy
379.64,87.39,33178.01,51.26,96.52,53.85,Non-Healthy
412.42,-89.73,-37005.0,95.73,70.16,44.22,Non-Healthy
387.91,91.54,35507.51,39.73,98.01,28.8,Healthy
325.79,105.04,34221.22,73.47,85.35,51.84,Non-Healthy
303.74,-63.25,-19213.17,79.21,91.02,30.29,Healthy
331.47,135.68,44973.42,55.85,95.67,33.01,Healthy
371.41,-135.04,-50155.85,95.0,84.01,23.57,Non-Healthy
306.17,-105.03,-32156.3,78.93,95.05,51.5,Non-Healthy
359.56,11.27,4053.85,56.63,75.33,30.01,Non-Healthy
371.62,22.74,8449.83,65.55,74.78,29.06,Non-Healthy
340.11,43.55,14810.07,75.41,89.72,52.21,Non-Healthy
392.51,-144.91,-56878.26,67.38,96.1,48.19,Healthy
312.79,138.11,43199.68,90.3,96.77,24.94,Healthy
309.02,-136.62,-42218.94,48.55,89.31,46.93,Healthy
387.38,-107.08,-41481.48,43.99,85.76,51.96,Non-Healthy
359.46,-145.8,-52407.55,37.11,79.94,22.75,Non-Healthy
382.61,20.06,7674.18,23.02,99.4,48.88,Healthy
352.18,129.68,45670.63,23.44,79.59,39.16,Non-Healthy
329.57,49.78,16407.27,89.6,92.33,43.42,Healthy
398.29,96.8,38553.59,74.27,85.96,37.25,Healthy
395.93,-146.02,-57811.96,72.84,88.26,44.42,Healthy
383.36,12.6,4832.14,69.17,81.8,21.19,Non-Healthy
332.66,-12.13,-4035.5,87.94,98.94,46.69,Healthy
370.83,-0.31,-114.81,58.42,87.15,21.17,Healthy
343.32,-128.34,-44059.93,89.63,98.13,35.94,Healthy
310.99,55.33,17207.26,48.76,70.23,25.28,Non-Healthy
410.08,0.97,396.19,94.14,87.18,48.83,Healthy
316.42,79.54,25169.38,75.89,91.52,30.98,Healthy
414.03,-4.41,-1827.03,40.57,92.35,35.89,Healthy
353.52,-105.19,-37185.25,65.13,97.15,35.01,Healthy
322.22,44.48,14331.23,62.64,70.13,47.04,Non-Healthy
365.03,-98.28,-35876.46,31.03,70.01,36.84,Non-Healthy
404.75,111.72,45218.4,67.3,84.17,47.61,Non-Healthy
387.87,33.93,13162.22,45.18,70.88,22.57,Non-Healthy
396.79,-102.84,-40805.15,24.19,99.24,26.71,Healthy
379.05,138.7,52575.33,95.89,76.66,39.3,Non-Healthy
383.07,5.51,2110.59,71.32,84.18,53.15,Non-Healthy
401.9,-128.13,-51496.08,90.15,71.83,22.62,Non-Healthy
329.96,38.05,12554.94,74.08,85.66,21.51,Healthy
358.73,-74.04,-26560.56,48.56,81.4,25.48,Non-Healthy
326.55,91.11,29750.89,61.02,71.34,42.44,Non-Healthy
418.52,95.35,39904.48,74.06,80.05,33.96,Non-Healthy
413.29,143.68,59382.83,96.82,81.74,48.89,Non-Healthy
304.73,0.56,170.91,40.29,99.7,22.52,Healthy
384.67,-13.51,-5198.01,90.0,76.24,26.87,Non-Healthy
411.03,76.04,31255.81,93.93,86.34,30.5,Healthy
321.67,-110.26,-35466.84,73.63,99.62,41.94,Healthy
368.15,14.07,5181.63,94.5,93.76,43.98,Healthy
409.86,13.87,5686.49,51.83,99.8,24.35,Healthy
304.07,-123.16,-37449.11,96.24,99.05,53.03,Non-Healthy
383.69,-24.6,-9440.62,76.22,84.69,31.94,Non-Healthy
335.68,105.99,35577.39,23.36,90.89,44.96,Healthy
410.93,106.85,43906.0,92.55,73.31,38.35,Non-Healthy
416.53,-120.23,-50078.5,58.76,83.23,27.8,Non-Healthy
413.31,-122.78,-50747.99,56.83,94.27,49.62,Healthy
356.91,-71.19,-25408.6,65.32,85.16,48.64,Healthy
403.45,112.43,45359.26,31.95,91.08,33.86,Healthy
401.35,-111.33,-44681.53,57.53,92.37,40.6,Healthy
338.29,66.0,22326.95,86.49,77.6,29.02,Non-Healthy
399.47,-119.65,-47796.69,21.24,96.27,44.14,Healthy
304.44,36.94,11246.46,41.83,83.79,30.82,Non-Healthy
371.55,-43.18,-16043.56,20.2,76.31,49.54,Non-Healthy
327.6,86.67,28394.56,53.26,95.96,27.61,Healthy
314.47,-79.89,-25123.75,78.27,82.53,20.52,Non-Healthy
309.23,41.76,12913.8,83.9,92.51,29.4,Healthy
383.55,-79.3,-30414.06,95.62,86.44,26.69,Healthy
340.78,64.1,21843.67,68.68,81.46,37.79,Non-Healthy
386.97,112.1,43380.88,40.37,94.3,27.13,Healthy
307.84,-111.96,-34465.91,93.93,87.53,46.71,Healthy
337.83,109.98,37154.64,82.03,81.72,28.45,Non-Healthy
364.74,28.07,10239.16,65.95,73.29,44.74,Non-Healthy
394.89,-111.87,-44174.74,75.65,96.86,40.25,Healthy
338.25,-21.74,-7352.7,93.95,71.06,54.52,Non-Healthy
375.11,-101.74,-38164.1,76.99,95.9,55.0,Non-Healthy
406.32,60.1,24421.45,49.47,80.8,50.43,Non-Healthy
373.9,77.66,29037.52,77.04,89.18,46.6,Healthy
327.96,-118.26,-38784.32,23.22,97.67,33.53,Healthy
302.93,1.84,557.98,50.91,74.55,46.36,Non-Healthy
404.41,94.39,38171.43,52.51,87.01,53.48,Non-Healthy
302.55,130.85,39588.64,33.35,92.93,20.82,Healthy
404.96,4.06,1642.28,21.85,92.73,38.83,Healthy
363.47,135.08,49099.23,30.67,85.77,27.63,Healthy
412.69,10.71,4418.52,72.37,88.74,39.53,Healthy
395.85,-31.74,-12565.53,84.18,92.73,36.33,Healthy
419.75,104.46,43847.7,99.06,95.23,40.15,Healthy
342.09,-2.11,-720.15,47.71,92.85,39.28,Healthy
392.06,-8.43,-3304.79,67.95,80.62,53.6,Non-Healthy
348.23,-2.91,-1012.05,94.97,99.9,39.33,Healthy
357.59,104.04,37201.54,33.36,83.04,49.62,Non-Healthy
375.3,99.58,37373.36,77.41,70.73,31.19,Non-Healthy
404.84,-28.94,-11717.73,80.4,80.88,35.33,Non-Healthy
418.09,-50.01,-20908.7,27.12,73.83,36.46,Non-Healthy
392.19,-2.42,-949.73,88.9,73.64,29.76,Non-Healthy
350.13,21.83,7644.0,85.05,78.45,33.29,Non-Healthy
350.56,-78.5,-27518.78,22.67,71.6,40.95,Non-Healthy
388.51,88.19,34261.34,27.29,90.66,40.31,Healthy
328.65,-4.06,-1332.74,23.93,72.22,42.28,Non-Healthy
313.26,-49.79,-15595.91,46.78,76.1,32.31,Non-Healthy
342.55,-117.95,-40405.59,60.74,72.79,31.05,Non-Healthy
334.47,-78.35,-26204.43,62.59,71.9,41.41,Non-Healthy
335.56,134.78,45227.83,41.41,78.03,24.65,Non-Healthy
328.03,-58.47,-19180.12,92.93,87.16,28.86,Healthy
305.05,-99.34,-30304.46,49.46,98.94,21.47,Healthy
302.14,-11.8,-3564.75,23.64,96.27,22.54,Healthy
418.53,-57.87,-24221.68,44.02,96.28,28.52,Healthy
351.33,-139.45,-48994.14,62.49,75.28,20.68,Non-Healthy
346.12,-53.06,-18363.85,52.66,77.95,28.59,Non-Healthy
381.56,13.23,5049.0,41.91,72.29,42.92,Non-Healthy
326.19,15.51,5060.42,30.51,93.35,22.14,Healthy
414.0,-43.03,-17815.18,85.53,72.09,35.29,Non-Healthy
394.36,-15.81,-6234.53,99.69,86.7,51.96,Non-Healthy
310.73,139.66,43395.02,46.36,77.44,47.69,Non-Healthy
350.11,-36.8,-12882.45,50.53,77.3,30.69,Non-Healthy
405.49,-72.53,-29411.29,69.44,99.72,52.37,Non-Healthy
413.37,-76.96,-31812.74,77.48,92.7,31.54,Healthy
356.09,-12.67,-4511.86,51.36,95.11,22.54,Healthy
373.61,77.86,29087.75,92.39,87.16,54.79,Non-Healthy
320.04,-88.2,-28229.02,64.8,96.13,50.45,Non-Healthy
418.94,62.79,26304.77,56.03,89.36,36.31,Healthy
327.8,-143.66,-47090.21,71.73,98.39,43.32,Healthy
413.13,-24.32,-10047.31,96.22,78.44,43.49,Non-Healthy
377.96,82.76,31279.59,83.56,87.86,26.81,Healthy
372.93,-48.38,-18042.32,23.2,90.7,27.0,Healthy
361.52,19.12,6912.72,46.58,81.79,36.44,Non-Healthy
327.68,-88.51,-29001.75,57.64,96.39,51.91,Non-Healthy
321.18,72.6,23317.47,45.16,99.39,20.35,Healthy
326.46,-134.32,-43848.67,76.02,84.81,47.39,Non-Healthy
322.37,105.76,34095.03,86.1,81.72,22.01,Non-Healthy
393.55,-90.54,-35632.46,78.51,84.16,36.74,Non-Healthy
342.02,112.32,38414.93,99.15,95.58,42.33,Healthy
306.94,-44.24,-13579.45,41.8,89.36,44.04,Healthy
416.29,66.81,27810.44,90.0,71.34,22.05,Non-Healthy
406.05,-54.23,-22021.3,81.33,86.27,34.65,Healthy
411.33,121.77,50089.13,48.97,70.52,40.43,Non-Healthy
419.39,-112.01,-46975.28,78.73,93.36,22.31,Healthy
320.87,-96.44,-30945.76,28.33,79.85,24.73,Non-Healthy
347.55,-2.09,-726.71,83.15,84.16,43.23,Non-Healthy
390.99,-125.42,-49037.19,62.59,93.96,38.26,Healthy
383.52,-91.21,-34979.53,43.38,71.39,25.66,Non-Healthy
318.47,133.13,42397.55,72.46,74.76,38.73,Non-Healthy
397.9,142.95,56878.57,71.33,81.94,51.94,Non-Healthy
326.93,-37.12,-12136.47,36.76,76.9,20.55,Non-Healthy
326.86,126.99,41506.34,22.43,80.14,42.49,Non-Healthy
364.44,13.45,4900.73,54.69,99.95,22.58,Healthy
371.15,-69.08,-25638.22,65.56,94.76,20.23,Healthy
369.61,60.72,22442.6,90.13,96.52,25.27,Healthy
310.98,47.67,14824.51,94.26,98.11,34.8,Healthy
405.3,146.74,59472.06,62.3,80.23,48.08,Non-Healthy
331.87,-70.49,-23392.27,80.3,78.91,29.86,Non-Healthy
315.54,51.62,16287.59,55.14,77.02,41.9,Non-Healthy
406.65,-134.39,-54650.83,79.69,94.9,34.39,Healthy
414.68,-115.91,-48063.77,36.38,90.39,28.2,Healthy
403.46,-148.82,-60044.03,49.69,77.09,38.0,Non-Healthy
397.14,149.84,59507.03,70.74,81.31,47.91,Non-Healthy
378.63,90.68,34334.88,21.45,85.2,49.14,Healthy
366.1,86.02,31491.04,77.8,85.84,49.63,Healthy
310.44,2.92,905.8,86.84,96.66,31.85,Healthy
349.01,-59.98,-20933.84,51.93,81.42,47.77,Non-Healthy
344.72,-104.62,-36065.13,55.84,97.26,27.43,Healthy
331.17,-64.6,-21392.81,88.1,83.24,45.84,Non-Healthy
386.81,-37.21,-14392.69,82.05,92.39,53.19,Non-Healthy
359.51,76.89,27643.44,43.05,97.91,20.48,Healthy
309.73,11.9,3685.28,45.92,97.23,35.41,Healthy
326.42,-126.75,-41375.59,74.31,71.71,42.67,Non-Healthy
381.99,-144.59,-55232.58,65.06,76.17,44.56,Non-Healthy
309.14,-119.3,-36880.0,32.98,84.31,26.16,Non-Healthy
402.14,-26.85,-10797.74,44.79,82.95,54.03,Non-Healthy
359.42,129.96,46709.15,92.0,89.23,41.53,Healthy
357.67,41.22,14743.44,75.05,98.34,25.75,Healthy
371.09,90.55,33601.28,98.88,73.37,20.72,Non-Healthy
398.96,-10.09,-4024.57,81.36,83.56,47.41,Non-Healthy
341.74,-41.5,-14182.15,95.36,75.77,22.79,Non-Healthy
381.36,-117.48,-44802.36,37.3,96.82,24.94,Healthy
367.89,112.78,41490.36,81.72,98.94,40.12,Healthy
332.04,84.95,28206.42,21.62,84.36,41.12,Non-Healthy
405.44,-99.56,-40367.02,73.66,73.12,44.04,Non-Healthy
395.69,3.68,1455.42,57.54,93.56,33.77,Healthy
379.01,-3.79,-1435.54,47.74,90.91,47.09,Healthy
402.07,37.53,15088.66,88.99,80.64,54.1,Non-Healthy
404.08,133.86,54087.93,88.34,96.62,29.49,Healthy
385.0,23.93,9213.69,21.78,99.27,44.61,Healthy
400.44,12.07,4831.4,68.76,86.74,52.5,Non-Healthy
383.7,-134.9,-51761.87,49.43,86.97,44.02,Healthy
381.62,-131.13,-50040.57,53.25,78.93,43.84,Non-Healthy
374.23,-93.8,-35101.58,86.56,87.54,27.83,Healthy
390.33,-140.26,-54746.64,44.79,83.19,38.73,Non-Healthy
319.03,73.01,23291.25,95.44,79.07,39.69,Non-Healthy
405.7,67.0,27181.83,34.37,72.02,44.5,Non-Healthy
404.62,-109.18,-44177.81,73.02,77.58,54.89,Non-Healthy
303.51,100.82,30600.96,73.77,75.94,21.18,Non-Healthy
399.1,-103.56,-41332.26,40.18,86.26,22.28,Healthy
315.46,-59.65,-18816.61,45.98,88.05,22.73,Healthy
340.21,-75.31,-25620.49,86.78,88.26,46.0,Healthy
389.22,-38.31,-14910.23,80.94,81.65,24.77,Non-Healthy
319.29,-73.6,-23500.11,46.33,82.64,41.79,Non-Healthy
398.16,-3.31,-1319.78,62.72,95.03,31.36,Healthy
399.86,-27.78,-11107.06,24.93,84.29,36.01,Non-Healthy
360.9,145.97,52680.31,36.7,99.63,27.55,Healthy
300.77,-133.22,-40068.72,58.87,83.19,50.31,Non-Healthy
334.44,-107.35,-35901.15,26.88,89.49,40.52,Healthy
374.03,-134.15,-50177.12,87.47,71.51,53.06,Non-Healthy
417.74,37.75,15770.76,77.44,89.6,40.11,Healthy
375.82,-133.65,-50226.98,95.49,95.54,24.34,Healthy
331.18,100.93,33426.27,75.48,98.27,25.98,Healthy
376.08,3.58,1346.97,95.23,99.92,54.62,Non-Healthy
364.8,8.1,2955.7,64.36,78.47,45.39,Non-Healthy
393.58,18.48,7272.74,68.02,87.26,21.72,Healthy
312.84,-98.76,-30894.56,98.16,83.52,44.63,Non-Healthy
391.32,-90.69,-35490.25,71.37,86.91,34.43,Healthy
364.95,-54.35,-19836.89,22.46,74.72,30.75,Non-Healthy
415.56,28.05,11655.98,77.9,95.68,25.39,Healthy
341.02,-86.96,-29657.1,92.44,97.29,49.4,Healthy
375.91,-115.1,-43267.95,83.65,83.49,22.23,Non-Healthy
411.84,141.04,58084.36,66.71,78.41,30.14,Non-Healthy
312.3,-143.41,-44785.69,73.7,74.23,30.72,Non-Healthy
412.47,90.81,37455.85,99.22,90.51,25.63,Healthy
382.55,86.41,33056.03,27.25,79.37,37.79,Non-Healthy
308.14,-60.84,-18745.96,73.38,97.29,20.41,Healthy
336.12,-109.31,-36741.48,42.67,90.13,30.53,Healthy
384.98,-106.31,-40927.83,71.21,89.37,52.68,Non-Healthy
308.08,59.23,18247.54,68.61,86.78,30.87,Healthy
369.86,42.84,15845.55,32.28,71.37,32.62,Non-Healthy
341.51,84.82,28967.8,36.54,97.96,36.56,Healthy
374.51,131.24,49152.3,69.73,88.84,39.66,Healthy
305.49,57.58,17589.51,30.26,99.82,48.3,Healthy
404.58,-103.24,-41771.13,41.21,86.12,26.66,Healthy
416.82,-76.97,-32081.37,86.82,91.3,50.51,Non-Healthy
416.27,102.66,42733.02,46.17,71.69,46.51,Non-Healthy
389.96,-87.21,-34007.55,59.04,88.95,45.29,Healthy
315.61,-128.24,-40474.91,95.29,92.94,23.04,Healthy
390.99,60.98,23844.24,38.17,93.36,20.76,Healthy
302.95,-29.24,-8858.9,51.17,93.1,40.79,Healthy
302.65,126.01,38138.14,68.52,76.79,50.21,Non-Healthy
338.83,45.08,15273.42,80.43,99.26,40.46,Healthy
358.64,-122.87,-44067.3,92.13,99.86,27.46,Healthy
392.45,134.36,52728.24,93.24,72.27,23.17,Non-Healthy
382.0,-72.43,-27669.01,82.13,98.09,44.49,Healthy
353.51,-48.84,-17264.02,38.27,78.68,45.26,Non-Healthy
332.84,-29.32,-9759.35,21.98,90.68,26.04,Healthy
419.65,-134.63,-56499.28,50.7,80.14,20.99,Non-Healthy
351.14,-1.05,-367.07,31.32,99.03,34.29,Healthy
354.17,-113.0,-40022.39,76.83,73.05,40.4,Non-Healthy
319.63,-29.71,-9496.0,72.89,84.93,44.71,Non-Healthy
395.38,-44.79,-17707.78,23.52,82.84,48.35,Non-Healthy
383.24,81.85,31369.12,86.93,79.78,41.37,Non-Healthy
326.49,90.95,29694.86,39.9,89.37,23.88,Healthy
309.89,-103.98,-32220.72,54.58,73.93,43.89,Non-Healthy
381.66,-40.03,-15279.62,73.43,91.5,54.45,Non-Healthy
378.54,-37.99,-14382.32,54.35,99.42,51.7,Non-Healthy
332.79,-104.58,-34802.26,55.3,94.14,50.51,Non-Healthy
414.1,89.54,37077.2,25.25,95.8,30.58,Healthy
318.13,62.17,19777.47,52.12,80.79,46.28,Non-Healthy
351.88,-92.89,-32684.55,81.19,79.75,49.79,Non-Healthy
413.23,-39.98,-16522.51,93.21,85.51,43.74,Healthy
350.37,-118.26,-41433.91,53.08,71.37,28.77,Non-Healthy
376.62,38.46,14485.67,53.89,98.36,53.38,Non-Healthy
347.71,-113.59,-39495.98,76.21,74.31,35.78,Non-Healthy
332.91,145.78,48531.09,95.42,97.09,24.54,Healthy
418.08,84.2,35204.04,41.36,72.51,23.84,Non-Healthy
349.12,-32.93,-11495.98,55.21,94.68,42.66,Healthy
407.29,23.57,9599.54,83.68,74.56,35.32,Non-Healthy
327.59,123.4,40426.0,68.78,71.14,23.31,Non-Healthy
325.57,16.23,5283.97,28.85,91.58,45.91,Healthy
303.74,-97.65,-29659.97,70.22,78.41,47.98,Non-Healthy
378.2,-36.39,-13762.32,34.94,91.43,45.39,Healthy
344.22,102.94,35435.52,60.82,86.65,27.08,Healthy
403.72,43.26,17466.63,62.33,73.26,44.14,Non-Healthy
356.79,45.22,16132.87,90.1,97.96,20.38,Healthy
416.18,110.05,45799.48,57.0,83.57,30.68,Non-Healthy
322.26,118.19,38088.89,42.36,92.03,33.96,Healthy
404.23,125.94,50908.43,38.48,85.03,49.23,Healthy
393.19,-121.55,-47790.57,89.94,88.13,33.66,Healthy
392.51,13.24,5195.98,33.68,79.08,20.39,Non-Healthy
401.37,72.15,28960.28,54.07,76.01,32.33,Non-Healthy
391.32,77.08,30162.41,34.97,86.28,37.46,Healthy
375.15,32.01,12010.26,81.86,83.21,53.22,Non-Healthy
315.75,-99.96,-31563.51,57.95,81.7,52.94,Non-Healthy
303.9,89.23,27116.11,48.09,90.18,26.33,Healthy
410.5,66.03,27106.83,48.89,90.72,26.48,Healthy
374.0,-124.16,-46435.32,88.18,71.38,25.72,Non-Healthy
395.58,-10.86,-4294.88,64.3,80.16,47.61,Non-Healthy
357.78,-97.81,-34993.57,77.43,82.35,20.21,Non-Healthy
314.08,-48.76,-15313.42,91.76,72.91,24.45,Non-Healthy
315.02,-144.58,-45544.56,92.14,77.08,38.83,Non-Healthy
382.27,-29.9,-11430.21,46.28,71.55,28.66,Non-Healthy
351.64,14.96,5261.57,96.2,99.89,23.23,Healthy
324.06,35.87,11625.69,21.99,92.1,32.6,Healthy
358.99,49.05,17607.49,50.15,72.62,29.6,Non-Healthy
307.71,100.89,31043.56,91.66,70.61,37.89,Non-Healthy
369.84,-85.36,-31569.67,41.97,91.58,54.27,Non-Healthy
332.28,-113.86,-37831.8,41.85,83.18,24.35,Non-Healthy
395.71,105.46,41731.73,44.21,93.6,33.05,Healthy
337.24,-103.02,-34741.52,68.99,97.7,52.62,Non-Healthy
354.63,142.43,50508.74,55.07,87.98,50.69,Non-Healthy
301.39,102.76,30971.74,78.14,75.61,33.8,Non-Healthy
308.69,0.26,81.18,91.59,93.47,44.46,Healthy
347.1,144.43,50130.3,73.94,98.67,23.07,Healthy
357.59,-120.79,-43192.54,36.36,87.41,44.94,Healthy
372.0,-59.08,-21978.01,94.61,90.46,54.05,Non-Healthy
335.0,41.47,13891.53,41.16,80.12,38.81,Non-Healthy
383.4,-45.0,-17252.11,31.99,81.45,37.45,Non-Healthy
403.21,128.51,51817.83,27.2,92.04,26.56,Healthy
393.58,-130.31,-51288.54,65.07,97.83,42.18,Healthy
304.75,14.82,4517.54,29.1,88.87,40.67,Healthy
357.66,27.26,9749.79,31.1,93.7,42.82,Healthy
312.59,45.82,14322.46,44.0,75.15,20.91,Non-Healthy
329.05,-73.3,-24119.07,42.53,76.36,39.21,Non-Healthy
418.4,-40.63,-16999.6,68.34,85.96,40.82,Healthy
317.1,103.1,32694.27,85.34,75.3,27.26,Non-Healthy
359.87,-91.52,-32933.97,80.91,89.05,27.29,Healthy
374.18,98.06,36692.09,41.0,78.75,29.67,Non-Healthy
384.3,18.8,7223.46,39.62,93.75,44.91,Healthy
367.16,78.66,28879.26,97.26,94.24,41.22,Healthy
301.17,64.08,19299.8,20.66,83.91,49.6,Non-Healthy
339.18,-87.75,-29761.47,90.38,75.42,30.35,Non-Healthy
362.13,20.64,7475.65,35.98,89.4,51.92,Non-Healthy
310.54,110.32,34258.26,95.78,99.78,46.03,Healthy
342.08,-20.37,-6966.41,47.38,88.68,33.83,Healthy
303.98,139.98,42550.89,55.23,71.07,23.33,Non-Healthy
309.43,-14.34,-4435.82,76.57,70.52,28.99,Non-Healthy
347.63,-107.16,-37253.61,67.01,79.61,53.49,Non-Healthy
315.93,-33.17,-10479.13,45.44,75.87,30.86,Non-Healthy
368.1,135.51,49882.16,64.31,94.39,31.55,Healthy
382.74,-54.08,-20699.79,78.46,95.34,26.64,Healthy
396.07,110.43,43737.84,23.39,77.76,48.24,Non-Healthy
324.02,114.38,37059.63,20.9,79.77,29.65,Non-Healthy
320.1,-44.94,-14386.49,56.65,77.09,31.56,Non-Healthy
312.55,-125.02,-39075.61,30.55,97.25,34.5,Healthy
376.37,67.37,25355.17,73.15,85.08,35.18,Healthy
384.78,-56.55,-21757.72,37.12,89.68,34.4,Healthy
303.79,84.88,25784.84,54.63,82.46,37.63,Non-Healthy
412.35,-17.2,-7093.8,35.81,88.93,48.51,Healthy
306.24,-4.42,-1353.56,63.88,81.58,48.67,Non-Healthy
364.96,83.37,30427.37,29.28,80.19,47.94,Non-Healthy
385.09,-35.29,-13590.11,21.85,89.03,23.54,Healthy
404.52,-17.06,-6901.77,24.09,87.73,47.99,Healthy
385.69,-37.14,-14325.65,96.34,78.81,24.21,Non-Healthy
396.21,-39.8,-15768.2,31.38,74.48,24.37,Non-Healthy
340.73,7.78,2652.26,76.68,81.06,53.18,Non-Healthy
397.78,92.64,36850.18,25.43,82.46,48.68,Non-Healthy
309.61,-41.47,-12839.53,28.65,88.86,39.33,Healthy
407.38,7.28,2964.25,60.71,97.44,50.62,Non-Healthy
365.71,51.22,18731.06,57.19,71.09,54.63,Non-Healthy
398.08,-69.17,-27534.17,96.13,77.31,41.37,Non-Healthy
354.28,-66.74,-23645.65,95.59,75.81,41.45,Non-Healthy
377.23,130.02,49048.84,82.37,85.07,46.4,Healthy
363.17,67.06,24354.2,68.17,82.89,28.12,Non-Healthy
387.79,23.16,8979.68,56.4,91.87,25.85,Healthy
309.8,44.32,13728.91,48.49,77.27,46.59,Non-Healthy
307.24,-141.21,-43385.73,95.77,87.83,32.07,Healthy
329.65,35.43,11679.88,68.23,96.52,24.73,Healthy
319.15,2.85,910.41,66.33,97.32,31.02,Healthy
404.61,13.72,5553.29,38.55,98.76,32.55,Healthy
326.31,-42.17,-13761.24,23.74,93.2,53.78,Non-Healthy
417.1,-125.56,-52370.65,95.62,97.18,44.43,Healthy
340.43,-92.0,-31318.73,45.1,77.04,38.58,Non-Healthy
321.85,135.22,43522.22,55.41,75.93,53.91,Non-Healthy
394.76,-27.39,-10812.63,29.17,70.19,51.61,Non-Healthy
379.04,-10.0,-3788.57,86.95,91.21,37.92,Healthy
359.78,-134.19,-48278.29,22.21,98.12,51.7,Non-Healthy
366.64,-138.73,-50864.52,86.72,75.61,34.15,Non-Healthy
386.3,65.15,25169.43,31.22,89.11,28.06,Healthy
327.41,11.43,3741.82,90.93,92.39,28.14,Healthy
419.56,2.61,1095.81,78.38,97.83,43.18,Healthy
416.98,-77.06,-32133.21,33.17,89.41,37.54,Healthy
378.04,73.43,27757.6,65.27,99.11,43.06,Healthy
323.95,-99.53,-32241.94,45.01,80.34,44.01,Non-Healthy
381.63,-93.02,-35498.82,34.26,80.5,20.78,Non-Healthy
308.66,-11.79,-3638.02,88.73,86.29,21.89,Healthy
303.68,-64.12,-19470.65,52.28,81.51,38.64,Non-Healthy
330.92,-75.76,-25071.01,51.88,70.04,26.69,Non-Healthy
355.51,43.57,15490.24,33.59,91.95,42.14,Healthy
404.19,45.29,18306.5,50.65,92.55,39.33,Healthy
387.26,97.36,37701.77,89.73,92.41,40.5,Healthy
389.12,-24.69,-9606.49,49.05,80.35,30.59,Non-Healthy
351.06,-128.07,-44961.72,96.13,85.67,42.39,Healthy
341.51,-67.9,-23188.71,95.7,80.8,49.03,Non-Healthy
344.52,144.0,49612.11,31.59,70.48,54.93,Non-Healthy
418.52,28.88,12085.78,34.18,86.87,49.35,Healthy
304.81,62.92,19179.18,89.01,73.71,39.51,Non-Healthy
404.04,-147.79,-59714.7,51.42,72.4,26.77,Non-Healthy
369.44,5.46,2017.78,20.35,92.66,43.85,Healthy
352.63,-138.74,-48924.92,41.91,70.29,52.82,Non-Healthy
387.03,20.77,8038.27,67.81,98.77,27.42,Healthy
358.4,126.23,45241.32,83.94,85.46,28.96,Healthy
404.81,140.53,56886.34,30.67,99.49,25.22,Healthy
408.08,12.17,4964.67,28.84,71.74,45.79,Non-Healthy
350.61,-12.54,-4396.1,93.77,87.51,34.23,Healthy
333.22,133.51,44486.49,80.09,80.48,22.19,Non-Healthy
371.08,52.08,19327.05,67.18,95.3,50.62,Non-Healthy
409.48,-130.53,-53449.98,81.53,80.84,39.52,Non-Healthy
325.28,-10.28,-3344.63,54.31,77.81,31.59,Non-Healthy
374.76,-77.93,-29203.42,80.68,95.73,32.04,Healthy
375.79,-9.06,-3404.15,49.74,81.24,30.16,Non-Healthy
387.97,-13.36,-5183.45,39.53,70.5,35.94,Non-Healthy
315.79,24.64,7782.11,78.32,81.71,31.8,Non-Healthy
385.9,-42.97,-16581.64,53.57,89.64,39.18,Healthy
409.08,-100.72,-41202.47,98.51,77.63,47.07,Non-Healthy
321.56,1.12,358.81,47.96,82.96,43.61,Non-Healthy
328.51,99.06,32542.01,93.74,71.7,30.31,Non-Healthy
416.57,49.2,20496.64,94.64,87.64,38.51,Healthy
321.72,-48.49,-15599.95,39.35,92.69,49.4,Healthy
402.53,130.66,52592.83,83.86,82.4,22.39,Non-Healthy
359.07,123.66,44403.83,54.65,82.61,22.74,Non-Healthy
329.67,-87.2,-28745.54,93.4,72.65,39.47,Non-Healthy
404.49,-138.17,-55890.29,56.01,76.06,42.37,Non-Healthy
353.44,72.39,25586.2,79.54,74.64,27.4,Non-Healthy
361.78,98.28,35556.66,57.36,84.45,46.08,Non-Healthy
343.11,140.36,48158.42,38.22,85.88,42.62,Healthy
371.15,116.95,43406.81,35.95,98.47,52.32,Non-Healthy
319.62,30.16,9639.96,54.03,72.2,25.91,Non-Healthy
346.93,9.02,3127.82,80.44,88.0,46.3,Healthy
416.33,-141.65,-58972.11,68.41,85.79,22.93,Healthy
